DATE,NEIGHBORHOOD(S),WHS-NBHD_MIN-APPROX-DIST,TOTAL_PKGS,DIST_LESS_THAN_TEN
2021-01-02,BONITA / NATIONAL CITY,4.50,54,1
2021-01-08,MISSION BEACH / OCEAN BEACH,13.70,38,0
2021-01-15,DOWNTOWN AREA / LOGAN,7.60,33,1
2021-01-22,HILLCREST / MONTECITO POINT,8.70,40,1
2021-01-29,EL CAJON/ SPRING VALLEY/ LA MESA,13.00,30,0
2021-02-05,NORTH PARK,8.50,39,1
2021-02-12,SAN YSIDRO/OTAY MESA/OCEAN VIEW,9.30,31,1
2021-02-13,PALM CITY/OTAY/OCEAN VIEW,6.00,46,1
2021-02-19,EL CAJON,13.00,26,0
2021-02-26,SAN YSIDRO/OTAY MESA/OCEAN VIEW,9.30,28,1